,Baseline (RegNetY),ConvNeXt-Tiny,DINOv2,NFNet,variance_across_models
bottle-oil-full,0.2222222222222222,0.23529411764705882,0.8,0.7142857142857143,0.094316428096293
juice-cardboard,0.46296296296296297,0.7591240875912408,0.8285714285714286,0.7647058823529411,0.026780220738617983
detergent-transparent,0.4126984126984127,0.7317073170731707,0.7671232876712328,0.647887323943662,0.025432899525857065
bottle-oil,0.4507042253521127,0.6346153846153846,0.782608695652174,0.7608695652173914,0.023208429831970426
bottle-yogurt,0.47058823529411764,0.7441860465116279,0.8148148148148148,0.7380952380952381,0.022984925934199277
bottle-blue5l-full,0.5,0.7407407407407407,0.782608695652174,0.6818181818181818,0.015522095968971784
detergent-white,0.4482758620689655,0.6835443037974683,0.7126436781609196,0.6818181818181818,0.015131963440220006
bottle-blue-full,0.5384615384615384,0.7865168539325843,0.7951807228915663,0.7586206896551724,0.014841343806594758
bottle-green,0.6238532110091743,0.8553459119496856,0.868421052631579,0.84472049689441,0.01358585273417365
detergent-color,0.6,0.7804878048780488,0.8666666666666667,0.7857142857142857,0.012682012920178983
glass-green,0.7111111111111111,0.96,0.8979591836734694,0.8260869565217391,0.011418725783360449
bottle-green-full,0.6666666666666666,0.8571428571428571,0.8450704225352113,0.7945205479452054,0.007589856775998288
bottle-multicolor,0.32432432432432434,0.5217391304347826,0.4444444444444444,0.38095238095238093,0.007202900430451502
canister,0.711864406779661,0.8656716417910447,0.9032258064516129,0.7936507936507936,0.007130738765348664
milk-cardboard,0.680628272251309,0.845360824742268,0.8586387434554974,0.8315789473684211,0.006892426988367731
bottle-blue5l,0.6564102564102564,0.8023952095808383,0.8421052631578947,0.7843137254901961,0.006449769144492947
bottle-blue,0.6329113924050633,0.7884615384615384,0.7920792079207921,0.7714285714285715,0.0057872423837222325
glass-transp,0.7333333333333333,0.8533333333333334,0.9117647058823529,0.8648648648648649,0.0057737579251373366
bottle-transp-full,0.6421052631578947,0.7741935483870968,0.8144329896907216,0.7772020725388601,0.005700809448137425
bottle-transp,0.6780383795309168,0.7086614173228346,0.8286334056399133,0.7991071428571429,0.005143315435651182
bottle-dark-full,0.6567164179104478,0.7792207792207793,0.8,0.7567567567567568,0.00402932993671667
detergent-box,0.7647058823529411,0.8823529411764706,0.9032258064516129,0.875,0.0038733192173545697
bottle-milk,0.6181818181818182,0.6935483870967742,0.7394957983193278,0.7154471544715447,0.0027522337509897302
cans,0.8615384615384616,0.93048128342246,0.9641025641025641,0.9595959595959596,0.002240512093070144
glass-dark,0.7906976744186046,0.8936170212765957,0.851063829787234,0.8695652173913043,0.0019323432271298724
bottle-multicolorv-full,0.7692307692307693,0.7058823529411765,0.7441860465116279,0.6808510638297872,0.001546357559689054
bottle-dark,0.85,0.8804347826086957,0.9175257731958762,0.8924731182795699,0.0007865225367790262
bottle-milk-full,0.8181818181818182,0.8333333333333334,0.8181818181818182,0.8372093023255814,9.985418867369788e-05
